,LAYER_NAME,LAYER_IN_NUM,LAYER_OUT_NUM,LAYER_IN_H,LAYER_IN_W,LAYER_FILTER_S1,LAYER_FILTER_S2,LAYER_STRIDE,DEPTH_CONV_EN,POINT_CONV_EN,BIAS_EN,MAX_POOL_EN
0,MobilenetV2/Conv/Relu6,3,16,384,384,1,3,2,0,1,1,0
1,MobilenetV2/expanded_conv/project/BatchNorm/FusedBatchNorm,16,8,192,192,3,1,1,1,1,1,0
2,MobilenetV2/expanded_conv_1/expand/Relu6,8,48,192,192,1,1,1,0,1,1,0
3,MobilenetV2/expanded_conv_1/project/BatchNorm/FusedBatchNorm,48,16,192,192,3,1,2,1,1,1,0
4,MobilenetV2/expanded_conv_2/expand/Relu6,16,96,96,96,1,1,1,0,1,1,0
5,MobilenetV2/expanded_conv_2/add,96,16,96,96,3,1,1,1,1,1,0
6,MobilenetV2/expanded_conv_3/expand/Relu6,16,96,96,96,1,1,1,0,1,1,0
7,MobilenetV2/expanded_conv_3/project/BatchNorm/FusedBatchNorm,96,16,96,96,3,1,2,1,1,1,0
8,MobilenetV2/expanded_conv_4/expand/Relu6,16,96,48,48,1,1,1,0,1,1,0
9,MobilenetV2/expanded_conv_4/add,96,16,48,48,3,1,1,1,1,1,0
10,MobilenetV2/expanded_conv_5/expand/Relu6,16,96,48,48,1,1,1,0,1,1,0
11,MobilenetV2/expanded_conv_5/add,96,16,48,48,3,1,1,1,1,1,0
12,MobilenetV2/expanded_conv_6/expand/Relu6,16,96,48,48,1,1,1,0,1,1,0
13,MobilenetV2/expanded_conv_6/project/BatchNorm/FusedBatchNorm,96,32,48,48,3,1,2,1,1,1,0
14,MobilenetV2/expanded_conv_7/expand/Relu6,32,192,24,24,1,1,1,0,1,1,0
15,MobilenetV2/expanded_conv_7/add,192,32,24,24,3,1,1,1,1,1,0
16,MobilenetV2/expanded_conv_8/expand/Relu6,32,192,24,24,1,1,1,0,1,1,0
17,MobilenetV2/expanded_conv_8/add,192,32,24,24,3,1,1,1,1,1,0
18,MobilenetV2/expanded_conv_9/expand/Relu6,32,192,24,24,1,1,1,0,1,1,0
19,MobilenetV2/expanded_conv_9/add,192,32,24,24,3,1,1,1,1,1,0
20,MobilenetV2/expanded_conv_10/expand/Relu6,32,192,24,24,1,1,1,0,1,1,0
21,MobilenetV2/expanded_conv_10/project/BatchNorm/FusedBatchNorm,192,48,24,24,3,1,1,1,1,1,0
22,MobilenetV2/expanded_conv_11/expand/Relu6,48,288,24,24,1,1,1,0,1,1,0
23,MobilenetV2/expanded_conv_11/add,288,48,24,24,3,1,1,1,1,1,0
24,MobilenetV2/expanded_conv_12/expand/Relu6,48,288,24,24,1,1,1,0,1,1,0
25,MobilenetV2/expanded_conv_12/add,288,48,24,24,3,1,1,1,1,1,0
26,Openpose/MConv_Stage1_L1_1_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
27,Openpose/MConv_Stage1_L1_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
28,Openpose/MConv_Stage1_L1_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
29,Openpose/MConv_Stage1_L1_4_pointwise/Relu,64,256,48,48,1,1,1,1,1,1,0
30,Openpose/MConv_Stage1_L1_5_pointwise/BatchNorm/FusedBatchNorm,256,38,48,48,1,1,1,1,1,1,0
31,Openpose/MConv_Stage1_L2_1_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
32,Openpose/MConv_Stage1_L2_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
33,Openpose/MConv_Stage1_L2_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
34,Openpose/MConv_Stage1_L2_4_pointwise/Relu,64,256,48,48,1,1,1,1,1,1,0
35,Openpose/MConv_Stage1_L2_5_pointwise/BatchNorm/FusedBatchNorm,256,19,48,48,1,1,1,1,1,1,0
36,Openpose/MConv_Stage2_L1_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
37,Openpose/MConv_Stage2_L1_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
38,Openpose/MConv_Stage2_L1_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
39,Openpose/MConv_Stage2_L1_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
40,Openpose/MConv_Stage2_L1_5_pointwise/BatchNorm/FusedBatchNorm,64,38,48,48,1,1,1,1,1,1,0
41,Openpose/MConv_Stage2_L2_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
42,Openpose/MConv_Stage2_L2_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
43,Openpose/MConv_Stage2_L2_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
44,Openpose/MConv_Stage2_L2_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
45,Openpose/MConv_Stage2_L2_5_pointwise/BatchNorm/FusedBatchNorm,64,19,48,48,1,1,1,1,1,1,0
46,Openpose/MConv_Stage3_L1_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
47,Openpose/MConv_Stage3_L1_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
48,Openpose/MConv_Stage3_L1_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
49,Openpose/MConv_Stage3_L1_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
50,Openpose/MConv_Stage3_L1_5_pointwise/BatchNorm/FusedBatchNorm,64,38,48,48,1,1,1,1,1,1,0
51,Openpose/MConv_Stage3_L2_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
52,Openpose/MConv_Stage3_L2_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
53,Openpose/MConv_Stage3_L2_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
54,Openpose/MConv_Stage3_L2_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
55,Openpose/MConv_Stage3_L2_5_pointwise/BatchNorm/FusedBatchNorm,64,19,48,48,1,1,1,1,1,1,0
56,Openpose/MConv_Stage4_L1_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
57,Openpose/MConv_Stage4_L1_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
58,Openpose/MConv_Stage4_L1_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
59,Openpose/MConv_Stage4_L1_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
60,Openpose/MConv_Stage4_L1_5_pointwise/BatchNorm/FusedBatchNorm,64,38,48,48,1,1,1,1,1,1,0
61,Openpose/MConv_Stage4_L2_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
62,Openpose/MConv_Stage4_L2_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
63,Openpose/MConv_Stage4_L2_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
64,Openpose/MConv_Stage4_L2_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
65,Openpose/MConv_Stage4_L2_5_pointwise/BatchNorm/FusedBatchNorm,64,19,48,48,1,1,1,1,1,1,0
66,Openpose/MConv_Stage5_L1_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
67,Openpose/MConv_Stage5_L1_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
68,Openpose/MConv_Stage5_L1_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
69,Openpose/MConv_Stage5_L1_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
70,Openpose/MConv_Stage5_L1_5_pointwise/BatchNorm/FusedBatchNorm,64,38,48,48,1,1,1,1,1,1,0
71,Openpose/MConv_Stage5_L2_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
72,Openpose/MConv_Stage5_L2_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
73,Openpose/MConv_Stage5_L2_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
74,Openpose/MConv_Stage5_L2_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
75,Openpose/MConv_Stage5_L2_5_pointwise/BatchNorm/FusedBatchNorm,64,19,48,48,1,1,1,1,1,1,0
76,Openpose/MConv_Stage6_L1_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
77,Openpose/MConv_Stage6_L1_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
78,Openpose/MConv_Stage6_L1_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
79,Openpose/MConv_Stage6_L1_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
80,Openpose/MConv_Stage6_L1_5_pointwise/BatchNorm/FusedBatchNorm,64,38,48,48,1,1,1,1,1,1,0
81,Openpose/MConv_Stage6_L2_1_pointwise/Relu,121,64,48,48,3,1,1,1,1,1,0
82,Openpose/MConv_Stage6_L2_2_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
83,Openpose/MConv_Stage6_L2_3_pointwise/Relu,64,64,48,48,3,1,1,1,1,1,0
84,Openpose/MConv_Stage6_L2_4_pointwise/Relu,64,64,48,48,1,1,1,1,1,1,0
85,Openpose/MConv_Stage6_L2_5_pointwise/BatchNorm/FusedBatchNorm,64,19,48,48,1,1,1,1,1,1,0
